,feature1,feature2,feature3,feature4,feature5
130,"('vias', 0.088233514998214)","('parque', -0.07767558505974717)","('tambien', 0.0010339593453388839)","('domingo', -0.0007223537701090537)","('masivo', 0.0005290847514349429)"
131,"('col', -0.22060194582678275)","('actuacion', 0.04051270105741534)","('y', -0.0007989434724069689)","('del', 0.0005147019407959024)","('contra', -0.00042502598155481723)"
132,"('carcel', -0.027355003386691966)","('los', -0.017518292685784902)","('todos', -0.00036005167546542503)","('uno', 0.0002665595481958283)","('de', 0.000248379407648275)"
133,"('los', -0.03677411883877604)","('todos', -7.565232801608761e-06)","('hay', -6.4708289604746645e-06)","('reportar', -6.363902648609131e-06)","('que', -5.3126509841991595e-06)"
134,"('es', 0.0)","('un', 0.0)","('espacio', 0.0)","('publico', 0.0)","('cerrrado', 0.0)"
135,"('dia', 0.18586722962496827)","('va', -0.13425335080622622)","('ayer', -0.0740001505080468)","('mejor', -0.05639783382646754)","('en', -0.0042300705804269425)"
136,"('roosevelt', 0.19878666686254148)","('poblacion', 0.0726900148260811)","('circular', -0.03327659189507659)","('y', 0.001034451172648393)","('la', 0.0009423125357435831)"
137,"('razon', 0.389867446730461)","('tiene', 9.948342344331326e-05)","('toda', 9.203826173484491e-05)","('dr', 8.51419005545864e-05)","('la', 7.976294659247784e-05)"
138,"('ser', -0.04782254218852111)","('oposicion', -0.03235626540008297)","('chad', 0.0128672484384079)","('anos', -0.012860947897793752)","('edad', -0.0027221564079559393)"
139,"('pais', 0.13430155194076462)","('son', 0.11320066110324062)","('familiar', 0.10187003735919829)","('mujer', -0.05731564496150043)","('anos', -0.04003987768890218)"
140,"('son', 0.12487258930651676)","('plan', -0.09870757327024184)","('capital', -0.07851021916572437)","('asi', -0.06181855375260937)","('lopez', 0.02418194968640841)"
141,"('senor', -0.04342178529121144)","('ex', 0.020610045400338856)","('los', -0.017931483281493302)","('fueron', 0.0005329220464963126)","('fiestas', -0.0004723901619486929)"
142,"('anos', -0.030605082414604315)","('dos', 0.019210464489347396)","('los', -0.0167667994015075)","('hombre', -0.012890972899716118)","('abuela', -0.0005193567136753038)"
143,"('sector', -0.16087181298320818)","('pais', 0.10431194408648338)","('capital', -0.07741127360093752)","('director', -0.05486327364744491)","('reunion', 0.013417906860297108)"
144,"('algun', -0.1178996351557807)","('usar', 0.11439145725942393)","('usa', -0.06332190961285705)","('va', -0.05275373352593749)","('mujer', -0.03859866956643071)"
