,feature1,feature2,feature3,feature4,feature5
118,"('celular', -0.19282012097572912)","('robarles', 5.326807704253594e-05)","('por', 4.549771598645883e-05)","('el', 4.499317975427747e-05)","('fijo', 3.8976444152047946e-05)"
119,"('poblacion', -0.11675438285840864)","('caos', -0.055334650441818324)","('contaminacion', 0.043027271469689696)","('los', 0.02886824439282353)","('ciudad', -0.020696623369950384)"
120,"('parque', 0.03828570422722318)","('nacional', -0.03147449669003555)","('conmemorando', -0.0002443059297950052)","('la', 0.00021968297652626031)","('brinquen', -0.00016562148099016585)"
121,"('va', 0.057463261489322404)","('dia', -0.03265168107913812)","('algun', 0.031250523629410214)","('son', -0.03039445833119444)","('cual', -0.028430949370587724)"
122,"('sexual', 0.04041661622973365)","('bo', -0.009137369953162795)","('los', 0.0020483675569069036)","('tomarse', -0.0006756039025468961)","('en', 0.00030279089357390995)"
123,"('violacion', 0.010267642570076882)","('los', 0.007290320098586729)","('dolor', 0.00554552917423795)","('curiosamente', 0.0001608915475259197)","('se', -0.00010369547164008838)"
124,"('peor', 0.044769028964540804)","('ciudad', -0.03338503504595004)","('pais', -0.028773932618789157)","('amo', -0.021415168234991247)","('corrupcion', 0.021058999389034994)"
125,"('bus', 0.14430542114628872)","('smog', -0.037246048102751346)","('da', 0.036722952458711086)","('nos', -0.017876733334735658)","('los', -0.010167908494151518)"
126,"('esmad', -0.06559952677668363)","('parque', 0.04980153244899765)","('son', -0.028137442534469426)","('nacional', -0.011015080967881966)","('me', -0.0007313997893750109)"
127,"('dos', 0.016867882983130744)","('de', 3.5854729593608103e-06)","('delincuencia', 2.523044355220343e-06)","('desarticula', 2.395874612613398e-06)","('grupos', 1.4557221330124817e-06)"
128,"('los', 0.01675631755332175)","('debil', -0.0024389015529778747)","('quita', 9.140985245456431e-06)","('decisiones', 6.30746968891945e-06)","('en', -1.8047134675668659e-06)"
129,"('sln', 0.02338029807942822)","('de', 6.199728854499601e-06)","('pura', 6.140117243293979e-06)","('demagogia', 5.301667305497358e-06)","('el', 4.12315118649409e-06)"
130,"('vias', -0.07595129278260204)","('parque', 0.05794335406544307)","('nacional', -0.019758754185104508)","('cientos', -0.0007666747164311841)","('en', 0.0006246034279278036)"
131,"('col', 0.10307239381266887)","('actuacion', -0.030192344663518153)","('presuntos', -0.0007407142112940159)","('deben', 0.0006127964508651873)","('libertador', 0.00043892144981195086)"
132,"('carcel', 0.05991506131703307)","('los', -0.013030129423202844)","('que', -0.0006119856525861721)","('cada', 0.0005463558573863569)","('transmilenio', 0.0004967769692882219)"
133,"('los', 0.016974437284711017)","('que', 3.865067380471199e-06)","('todos', 3.600939281852593e-06)","('hay', 3.157568557829266e-06)","('reportar', 2.541061523567641e-06)"
134,"('publico', 2.180381091229544e-31)","('un', 1.89514980100641e-31)","('es', 1.1570951997562733e-31)","('espacio', 9.573222621315388e-32)","('cerrrado', -8.919407203887226e-32)"
135,"('va', 0.09900730677290819)","('dia', -0.06857798469244063)","('ayer', 0.04120189725545057)","('mejor', -0.019541335689317676)","('telefonos', -0.0012692591969383528)"
136,"('poblacion', -0.10954182240453306)","('circular', 0.042230251532443704)","('roosevelt', -0.005053952833844856)","('imaginate', -0.001633042979838835)","('gente', -0.0013720092647059147)"
137,"('razon', -0.07660125003660706)","('tiene', -2.1170902233914724e-05)","('toda', -1.9470830219065894e-05)","('la', -1.8384531384783027e-05)","('dr', -1.6919744749605053e-05)"
138,"('edad', 0.023381261203429964)","('chad', -0.022700708707021268)","('anos', 0.02215901814180854)","('oposicion', 0.009016574240125249)","('ser', 0.007708116354293576)"
139,"('anos', 0.0386242829372906)","('son', -0.03572546487649635)","('pais', -0.034474962154793905)","('violacion', 0.01971309344391426)","('mujer', -0.018152970666979622)"
140,"('lopez', -0.04969168842795569)","('asi', 0.04617315068705549)","('son', -0.040378440096014066)","('lugar', 0.03566936150966224)","('plan', 0.02299530105736751)"
141,"('senor', 0.03803705107632451)","('ex', -0.012500815739911837)","('los', 0.003584532334624746)","('ya', 0.000387443173594622)","('ella', 0.0003026620073372735)"
142,"('anos', 0.03380554657147036)","('dos', 0.003428976974053334)","('hombre', -0.002210276058103242)","('los', -0.002025661704659596)","('su', -0.0002884547360947626)"
143,"('pais', -0.029921035884046338)","('sector', -0.019591309030140548)","('director', -0.01814418075842436)","('capital', 0.010766594993807794)","('reunion', 0.0014347165238152982)"
144,"('va', 0.07796602320289737)","('usar', -0.05356243465046385)","('usa', 0.0441280788456404)","('algun', 0.028948737597441605)","('mujer', -0.02814946151289543)"
145,"('ningun', 0.06850123012236874)","('son', -0.0368138669712385)","('ej', -0.020650868954259865)","('transnacional', -0.02059871039690768)","('app', -0.014746256625408448)"
146,"('favor', -0.048313751630406916)","('super', 0.019983264485054823)","('los', 0.017162993968652087)","('mas', 0.014224538540700889)","('lo', 0.000782671845148526)"
147,"('interior', 0.10461226991674832)","('celular', -0.10061060551091783)","('social', -0.03220807298450605)","('lider', -0.030337001983177892)","('ver', 0.007587718222369256)"
148,"('celular', -0.07959828582527714)","('hoy', 0.046795069263393115)","('bici', -0.028318411206015)","('sin', 0.02671054485400714)","('dias', 0.024197008760775525)"
149,"('hombre', 0.051901276849066556)","('mujer', -0.046671833867458566)","('de', -0.0007540313076818784)","('violencia', 0.0006981893590089858)","('generalizar', -0.0005333532803194912)"
150,"('celular', -0.1526862960042119)","('mal', 0.05018791012862554)","('anda', 0.018575208046917813)","('usd', -0.017920928526395107)","('un', -0.0007659715736928838)"
151,"('vial', -0.085453497037975)","('los', 0.06149565359174996)","('mas', 0.010228083309702596)","('senalizacion', -0.00292163015891065)","('iluminacion', -0.002790575814167534)"
152,"('ciudad', -0.036491999129766924)","('manos', 0.03575344713230345)","('bici', -0.02861576026917565)","('produccion', -0.023520823966619208)","('mas', 0.012807069658878007)"
153,"('esmad', -0.14273175443478742)","('del', -2.6927553552088558e-05)","('y', -2.6299504831514886e-05)","('en', -2.348103961512591e-05)","('lo', -2.2152113699632646e-05)"
154,"('da', 0.048527008320866566)","('estan', 0.034796232240533596)","('peor', 0.02840237315190757)","('temor', -0.008550664490063037)","('llenos', -0.0011795175925619502)"
155,"('jardin', -0.026065619718405174)","('los', 0.017773740239715966)","('infantil', 0.007836911242730064)","('dinero', 0.00022264458359104463)","('se', -0.00012073242433362787)"
156,"('dan', 0.03501937589351195)","('los', 0.0007194096985296215)","('la', 0.0002432043659070399)","('ladrones', 0.00018455215745812994)","('porque', 0.00018192182435178427)"
157,"('son', -0.06818353969562559)","('casi', 0.060556570077721285)","('contra', 0.0001445981534836243)","('en', 0.000128949676842868)","('es', -9.338473315881046e-05)"
158,"('institucion', 0.049714030895157336)","('sexual', 0.03179610913055998)","('situacion', -0.023643469058293176)","('normal', -0.01656910929261489)","('superior', -0.007461280118403836)"
159,"('los', 0.016974414472935045)","('el', 2.3003298753983277e-06)","('hurto', 1.5603813200364266e-06)","('baja', 1.4172437316346198e-06)","('pero', 1.1471144472306295e-06)"
160,"('bus', 0.18170623557481036)","('escolar', -0.10761639812167544)","('entregan', 0.0016568381585505179)","('video', 0.001175370480450049)","('en', 0.0009518694541734985)"
161,"('lider', -0.10498608056237031)","('menor', 0.084846775778747)","('hoy', 0.03253374888052956)","('edad', 0.01974612077447565)","('ayer', 0.014743286806393816)"
162,"('celular', -0.09667433151610408)","('arley', 0.03667184464904788)","('defensor', 0.026692608916498037)","('oye', -0.013126813619344417)","('le', 0.0009535075359131701)"
163,"('sitp', 0.18015558976584137)","('en', 2.4139463675449023e-05)","('vivo', 2.27151474979136e-05)","('tiempo', 1.9868387815338894e-05)","('el', 1.7589940112320433e-05)"
164,"('dis', -0.06726640483905501)","('estan', 0.06337060283900593)","('mas', 0.013702716681265987)","('que', 0.0005288799267142944)","('dando', 0.0004900996394350905)"
165,"('medellin', 0.044139558034041224)","('habitante', 8.965417367574383e-06)","('habria', 8.616459914251223e-06)","('calle', 7.909297482986312e-06)","('de', 7.193311372569831e-06)"
166,"('paz', -0.06106262551600762)","('sexual', 0.04704347211180068)","('jurisdiccion', 0.03248522177787976)","('especial', -0.02960259245103521)","('nacional', -0.019397007474632876)"
167,"('estar', 0.015028474468396575)","('deben', 1.4187492980906312e-06)","('libertad', 7.333082678842282e-07)","('ya', 7.188092768890646e-07)","('en', 5.709839934223811e-07)"
168,"('sitp', 0.08107821583382349)","('sur', -0.03930556251416173)","('jardin', -0.020470366502291722)","('pension', 0.013024223080803664)","('voraz', 0.004355711872608502)"
169,"('planton', -0.08410391052026911)","('gaston', 0.030220127172083933)","('bachelard', 0.030129194609104123)","('jardin', -0.013455539643147054)","('insolito', 0.0007607684144422777)"
